# Root-build CHEAT warning inventory, 2026-08-27
# Format: source-file|theorem-or-definition
# These are the 131 Saved CHEAT records emitted while compiling the root
# dependency closure from clean source-triggered theory builds.
lowering/abiEncoderPropsScript.sml|compile_abi_decode_static_correct
lowering/abiEncoderPropsScript.sml|compile_abi_encode_to_buf_correct
lowering/abiEncoderPropsScript.sml|compile_abi_zero_pad_correct
lowering/builtinPropsScript.sml|compile_raw_call_correct
lowering/builtinPropsScript.sml|compile_raw_create_correct
lowering/builtinPropsScript.sml|compile_send_correct
lowering/builtinPropsScript.sml|lower_abi_decode_correct
lowering/builtinPropsScript.sml|lower_abi_encode_correct
lowering/e2eCorrectnessScript.sml|e2e_venom_to_evm
lowering/e2eCorrectnessScript.sml|e2e_vyper_to_evm
lowering/e2eCorrectnessScript.sml|e2e_vyper_to_evm_O2
lowering/e2eCorrectnessScript.sml|vyper_call_correct
lowering/emitHelperPropsScript.sml|compile_state_ok_emit_inst
lowering/emitHelperPropsScript.sml|compile_state_ok_emit_op
lowering/emitHelperPropsScript.sml|compile_state_ok_emit_void
lowering/emitHelperPropsScript.sml|compile_state_ok_fresh_id
lowering/emitHelperPropsScript.sml|compile_state_ok_fresh_var
lowering/emitHelperPropsScript.sml|compile_state_ok_initial
lowering/emitHelperPropsScript.sml|compile_state_ok_new_block
lowering/emitHelperPropsScript.sml|fresh_label_output_inj
lowering/emitHelperPropsScript.sml|fresh_label_produces_external
lowering/emitHelperPropsScript.sml|label_external_mono
lowering/exprLoweringPropsScript.sml|compile_binop_correct
lowering/exprLoweringPropsScript.sml|compile_expr_correct
lowering/exprLoweringPropsScript.sml|compile_expr_extends_insts
lowering/exprLoweringPropsScript.sml|compile_name_correct
lowering/exprLoweringPropsScript.sml|compile_neg_correct
lowering/moduleLoweringPropsScript.sml|compile_entry_point_kwargs_correct
lowering/moduleLoweringPropsScript.sml|compile_generate_runtime_correct
lowering/moduleLoweringPropsScript.sml|compile_selector_dispatch_linear_correct
lowering/moduleLoweringPropsScript.sml|compile_selector_dispatch_sparse_correct
lowering/stmtLoweringPropsScript.sml|compile_annassign_correct
lowering/stmtLoweringPropsScript.sml|compile_assert_bare_correct_false
lowering/stmtLoweringPropsScript.sml|compile_assert_correct_true
lowering/stmtLoweringPropsScript.sml|compile_assert_reason_correct_false
lowering/stmtLoweringPropsScript.sml|compile_assign_name_correct
lowering/stmtLoweringPropsScript.sml|compile_expr_stmt_correct
lowering/stmtLoweringPropsScript.sml|compile_for_range_correct
lowering/stmtLoweringPropsScript.sml|compile_if_correct
lowering/stmtLoweringPropsScript.sml|compile_return_none_external_correct
lowering/stmtLoweringPropsScript.sml|compile_return_none_internal_correct
lowering/stmtLoweringPropsScript.sml|compile_return_some_external_correct
lowering/stmtLoweringPropsScript.sml|compile_return_some_internal_correct
lowering/stmtLoweringPropsScript.sml|compile_stmt_correct
lowering/stmtLoweringPropsScript.sml|compile_stmts_correct
lowering/vyperLoweringCorrectScript.sml|vyper_to_venom_correct
venom/codegen/asmToBytecodePropsScript.sml|asm_bytecode_sim
venom/codegen/codegenCorrectnessScript.sml|codegen_correct
venom/codegen/codegenCorrectnessScript.sml|codegen_fn_correct
venom/codegen/proofs/genBlockSimScript.sml|gen_inst_abort_sim
venom/codegen/proofs/genBlockSimScript.sml|gen_inst_halt_sim
venom/codegen/proofs/genBlockSimScript.sml|gen_inst_ok_sim
venom/codegen/venomToAsmPropsScript.sml|gen_block_simulation
venom/codegen/venomToAsmPropsScript.sml|gen_fn_simulation
venom/codegen/venomToAsmPropsScript.sml|gen_inst_simulation
venom/passes/algebraic_opt/algebraicOptCorrectnessScript.sml|ao_preserves_ssa_form
venom/passes/algebraic_opt/algebraicOptCorrectnessScript.sml|ao_preserves_wf_function
venom/passes/algebraic_opt/algebraicOptCorrectnessScript.sml|ao_transform_function_correct
venom/passes/algebraic_opt/proofs/algebraicOptProofsScript.sml|ao_transform_function_correct_proof
venom/passes/assert_combiner/assertCombinerCorrectnessScript.sml|ac_preserves_ssa_form
venom/passes/assert_combiner/assertCombinerCorrectnessScript.sml|ac_preserves_wf_function
venom/passes/branch_opt/branchOptCorrectnessScript.sml|branch_opt_preserves_ssa_form
venom/passes/branch_opt/branchOptCorrectnessScript.sml|branch_opt_preserves_wf_function
venom/passes/cfg_normalization/cfgNormCorrectnessScript.sml|cfg_norm_establishes_normalized_cfg
venom/passes/cfg_normalization/cfgNormCorrectnessScript.sml|cfg_norm_pass_correct
venom/passes/cfg_normalization/cfgNormCorrectnessScript.sml|cfg_norm_preserves_ssa_form
venom/passes/cfg_normalization/cfgNormCorrectnessScript.sml|cfg_norm_preserves_wf_function
venom/passes/cse/cseCorrectnessScript.sml|cse_function_correct
venom/passes/cse/cseCorrectnessScript.sml|cse_preserves_ssa_form
venom/passes/cse/cseCorrectnessScript.sml|cse_preserves_wf_function
venom/passes/cse/proofs/cseProofsScript.sml|cse_function_correct_proof
venom/passes/dead_store_elim/deadStoreElimCorrectnessScript.sml|dse_function_correct
venom/passes/dead_store_elim/deadStoreElimCorrectnessScript.sml|dse_function_space_correct
venom/passes/dead_store_elim/proofs/deadStoreElimProofsScript.sml|dse_function_correct
venom/passes/dead_store_elim/proofs/deadStoreElimProofsScript.sml|dse_function_space_correct
venom/passes/function_inliner/defs/functionInlinerDefsScript.sml|call_walk_dfs_def
